gender	nationality	main_crime_age	criminal_records	main_crime_category	main_crime_is_violent	risk01_previous_violence	risk02_history_nonviolent_offences	risk03_early_violence_before_14	risk04_past_intervention_fail	risk05_self_harm_suicide_attempts	risk06_violence_at_home	risk07_childhood_mistreatment	risk08_criminal_parent_caregiver	risk09_early_separation_parents	risk10_poor_school_achievement	risk11_delinquency_peer_group	risk12_rejection_peer_group	risk13_poor_stress_coping	risk14_poor_parental_skills_parents	risk15_lack_of_personal_social_support	risk16_marginalized_environment	risk17_negative_attitudes	risk18_risk_taker_impulsive	risk19_drug_abuse	risk20_anger_management_issues	risk21_low_empaty	risk22_attention_deficit	risk23_poor_compliance_interventions	risk24_low_commitment_school	protective01_prosocial_activities	protective02_strong_social_support	protective03_strong_link_prosocial_adult	protective04_positive_attitude_interventions	protective05_high_commitment_school_or_work	protective06_perseverant_personality	average_01_antisocial	average_02_family	average_03_personality	average_04_social_support	average_05_susceptibility_treatment	sum_historic_risk_items	sum_social_risk_items	sum_individual_risk_items	sum_all_risk_items	sum_all_protective_items	professional_risk_evaluation	recidivism	recidivism_number_offences	recidividm_category_first_offence	recidivism_violence_first_offence	recidivism_severity
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	High	Moderate	High	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Present	Present	Present	Present	Absent	Absent	1	0.25	0.857142857142857	0.2	0.714285714285714	8	3	7	18	2	Moderate	Yes	1	Against people	Violent	2	
Male	Foreigner	15	More than 5 criminal records	Violent against property	Violent	High	Moderate	Low	High	Moderate	Low	Low	Low	Low	High	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	High	Absent	Present	Absent	Absent	Absent	Absent	1	0	1	0.6	1.28571428571429	8	6	7	21	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	0 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Moderate	Moderate	High	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Low	Moderate	Low	Present	Absent	Absent	Present	Present	Present	0.428571428571429	0.5	0.714285714285714	1	0.428571428571429	6	3	7	16	2	Moderate	Yes	1	Against people	Violent	1	
Male	Foreigner	14	0 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	High	High	High	Moderate	High	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Absent	Present	Present	Present	Present	Present	0	1.75	0.142857142857143	0.2	0.571428571428571	9	2	1	12	1	Low	Yes	1	Against people	Violent	2	
Male	Foreigner	17	1 or 2 criminal records	Others	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.285714285714286	0	0.142857142857143	0	0.285714285714286	2	1	1	4	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Nonviolent against property	No violent	High	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Moderate	Low	High	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	Absent	Absent	Absent	Absent	Absent	Absent	0.714285714285714	0.25	1.14285714285714	1.6	1.14285714285714	4	9	11	24	6	Moderate	Yes	2	Nonviolent against property	No violent	0	
Male	Spanish	15	1 or 2 criminal records	Violent against property	Violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Absent	Present	Present	Present	Present	Absent	0.285714285714286	0	0.428571428571429	0.2	0.571428571428571	2	2	4	8	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	More than 5 criminal records	Against persons	Violent	High	High	Low	High	Low	Low	Low	Low	Low	Moderate	Moderate	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	High	Low	Absent	Present	Present	Absent	Absent	Absent	1	0	1.14285714285714	0.4	1	7	5	8	20	4	High	Yes	7	Nonviolent against property	No violent	2	
Female	Spanish	14	0 criminal records	Violent against property	Violent	High	High	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	High	Moderate	High	Low	High	High	Moderate	High	Moderate	High	Low	Low	Absent	Present	Absent	Present	Present	Absent	0.857142857142857	0	1.57142857142857	0.8	0.571428571428571	6	6	10	22	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	More than 5 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Moderate	High	Low	Low	Low	Low	Moderate	High	Low	Moderate	Low	High	High	Moderate	High	High	Moderate	Low	Low	Moderate	Low	Absent	Absent	Absent	Present	Present	Present	1.28571428571429	0	0.714285714285714	1.2	0.428571428571429	6	7	7	20	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	High	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	0.25	0.142857142857143	0.4	0.142857142857143	3	3	2	8	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	0 criminal records	Against persons	Violent	High	High	High	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Low	Present	Absent	Present	Present	Present	Present	1.14285714285714	0.25	0.285714285714286	0.4	0	7	2	3	12	1	Low	Yes	1	Against people	Violent	2	
Male	Foreigner	14	More than 5 criminal records	Violent against property	Violent	High	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	High	Moderate	Low	Low	Low	Absent	Present	Present	Present	Absent	Absent	1	0	0.857142857142857	0.6	0.571428571428571	6	5	6	17	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	More than 5 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	High	High	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.714285714285714	0.5	0.857142857142857	1.2	0.857142857142857	7	6	7	20	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Present	Present	Present	Present	Present	Present	0.571428571428571	0	0.571428571428571	0.2	0.285714285714286	3	3	5	11	0	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	17	More than 5 criminal records	Nonviolent against property	No violent	High	High	Low	Moderate	Low	Moderate	Low	High	Low	High	High	Low	Moderate	High	High	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Present	Absent	Absent	Present	Present	Present	1	0.75	0.285714285714286	1.6	0.428571428571429	10	9	2	21	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Absent	Present	0.285714285714286	0.75	0.142857142857143	0	0.285714285714286	6	1	0	7	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.142857142857143	0	0.285714285714286	0.2	0.285714285714286	1	2	2	5	1	Low	Yes	4	Against people	Violent	3	
Male	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Absent	Present	Present	Present	Present	Present	0.285714285714286	0	0.428571428571429	0.2	0.285714285714286	1	3	3	7	1	Moderate	Yes	1	Others	No violent	2	
Male	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	High	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.714285714285714	0	0.142857142857143	0.2	0.285714285714286	5	2	2	9	0	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	1 or 2 criminal records	Violent against property	Violent	Moderate	Low	Low	Moderate	Low	Moderate	Low	Low	Low	High	Moderate	Low	Low	High	Moderate	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	High	Absent	Present	Present	Absent	Absent	Absent	0.428571428571429	0.25	0.285714285714286	0.8	1.28571428571429	5	5	5	15	4	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	Low	Low	Moderate	Moderate	High	High	High	Moderate	Moderate	High	Low	Moderate	Moderate	High	High	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.714285714285714	1.5	0.714285714285714	1.2	1	12	6	6	24	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0.142857142857143	0	0.428571428571429	0	0.428571428571429	3	1	2	6	1	Low	Yes	2	Violent against property	Violent	3	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Moderate	Moderate	Low	High	High	Moderate	Low	Moderate	Moderate	Low	Low	High	High	High	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Absent	Absent	Present	Present	Present	Absent	0.857142857142857	1.25	0.428571428571429	1.4	0.428571428571429	10	7	4	21	3	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Low	High	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Present	Present	Absent	Present	Absent	Present	0.571428571428571	1	0.285714285714286	0.6	0.714285714285714	8	4	4	16	2	Moderate	Yes	3	Others	No violent	3	
Male	Spanish	17	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	High	Absent	Absent	Absent	Present	Absent	Absent	0.285714285714286	0.25	0.571428571428571	0.8	1	3	5	5	13	5	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	More than 5 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Absent	Present	Present	Present	Absent	Absent	0.428571428571429	0	0.714285714285714	0	0.857142857142857	4	0	7	11	3	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	High	Low	Moderate	Moderate	Present	Present	Present	Present	Present	Present	0	0.25	0.857142857142857	0.8	0.428571428571429	2	5	7	14	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0	0	0	0	0	0	0	0	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	3 to 5 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Present	Present	Present	Present	Present	Absent	0	1	0.714285714285714	0.8	0.714285714285714	6	6	5	17	1	Moderate	Yes	3	Against people	Violent	4	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0	0.25	0.285714285714286	0	0.285714285714286	3	1	1	5	0	Low	Yes	1	Violent against property	Violent	3	
Male	Spanish	16	3 to 5 criminal records	Others	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	High	Present	Present	Absent	Present	Absent	Absent	0.142857142857143	0.25	0.428571428571429	0.6	0.857142857142857	3	3	5	11	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	High	Moderate	Low	Low	Low	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.428571428571429	0.5	0	0	0.428571428571429	7	0	0	7	1	Low	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	1 or 2 criminal records	Against persons	Violent	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	High	Absent	Present	Absent	Present	Present	Present	0.428571428571429	0	0.714285714285714	0.4	0.714285714285714	4	3	6	13	2	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	14	3 to 5 criminal records	Violent against property	Violent	High	Moderate	High	Moderate	Low	Low	Low	Low	Moderate	High	Moderate	Low	High	Low	Low	Moderate	High	Moderate	Low	High	High	Low	High	Moderate	Absent	Absent	Absent	Absent	Present	Absent	1	0.25	1.28571428571429	0.6	1.14285714285714	9	4	10	23	5	High	Yes	3	Against people	Violent	3	
Male	Foreigner	14	More than 5 criminal records	Against persons	Violent	High	High	High	Low	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	High	Moderate	High	Low	Moderate	Moderate	Absent	Present	Present	Present	Present	Absent	1.57142857142857	1.25	1.42857142857143	1	0.857142857142857	14	10	11	35	2	High	Yes	7	Others	No violent	3	
Male	Foreigner	16	3 to 5 criminal records	Against persons	Violent	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Present	Absent	Absent	Present	Absent	Absent	1.57142857142857	0	0.857142857142857	0.8	0.714285714285714	10	6	6	22	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Moderate	High	Moderate	High	Low	Low	Low	High	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Absent	Present	Present	Absent	Present	Present	0	1	0.142857142857143	0.4	0.714285714285714	6	2	2	10	2	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	17	3 to 5 criminal records	Violent against property	Violent	High	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	High	High	Absent	Absent	Present	Absent	Absent	Absent	1.14285714285714	0.5	1.85714285714286	1.2	1.28571428571429	7	10	16	33	5	High	Yes	1	Against people	Violent	2	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	High	High	Moderate	Low	Low	Moderate	Low	Low	Moderate	High	Moderate	Low	High	Low	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Absent	Present	Present	Present	Present	Absent	1	0.5	1.14285714285714	0	0.714285714285714	9	3	8	20	2	Moderate	Yes	1	Against people	Violent	2	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Low	Low	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Low	Present	Present	Present	Present	Present	Absent	0	0	1	0.2	0.428571428571429	2	2	6	10	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	More than 5 criminal records	Nonviolent against property	No violent	Moderate	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Low	Low	High	Moderate	Low	Low	High	Low	Low	Moderate	Low	Moderate	Low	Absent	Absent	Present	Present	Absent	Absent	1	1.5	0.428571428571429	0.8	0.857142857142857	14	4	4	22	4	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	High	High	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.428571428571429	0	0.428571428571429	1.4	0.857142857142857	4	7	3	14	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Others	No violent	Moderate	Moderate	Low	High	Low	Moderate	Moderate	Low	Low	High	Moderate	Low	Moderate	High	High	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.857142857142857	0.5	0.714285714285714	1.4	0.857142857142857	8	7	6	21	5	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Present	Present	Present	Absent	Present	Absent	0	0	0.857142857142857	0.4	0.714285714285714	2	5	4	11	2	Low	No	0	Not applicable	Not applicable	0	
Female	Foreigner	16	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	High	High	Low	High	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Present	Present	Present	Present	Present	Present	0.142857142857143	1.5	0.142857142857143	0.4	0.285714285714286	7	3	2	12	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	14	3 to 5 criminal records	Others	No violent	Low	Low	High	Low	Low	Low	Moderate	Moderate	High	High	Moderate	Low	Moderate	High	Low	Low	High	High	Moderate	Low	Moderate	Low	Moderate	High	Absent	Absent	Present	Present	Absent	Absent	0.571428571428571	1	0.857142857142857	0.6	1.14285714285714	8	4	9	21	4	Moderate	Yes	1	Violent against property	Violent	3	
Male	Spanish	16	0 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	High	Low	High	High	Moderate	High	Moderate	Present	Present	Present	Present	Absent	Absent	0.142857142857143	0	1.14285714285714	0.2	0.857142857142857	2	2	10	14	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Others	No violent	Low	Moderate	Low	High	Low	Low	Low	Low	High	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	High	Absent	Present	Absent	Absent	Absent	Absent	0.714285714285714	0.5	0.571428571428571	0.8	1.28571428571429	7	5	7	19	5	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Absent	Absent	Absent	Absent	Absent	Absent	0.857142857142857	0	0.857142857142857	0.8	1.14285714285714	5	4	9	18	6	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	3 to 5 criminal records	Others	No violent	Moderate	High	High	Moderate	High	High	High	Low	High	High	Moderate	High	High	High	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Absent	Absent	Absent	Absent	Absent	Absent	1.42857142857143	1.5	1.42857142857143	1	1	16	8	8	32	6	Moderate	Yes	2	Others	No violent	1	
Male	Foreigner	17	1 or 2 criminal records	Others	No violent	High	Moderate	High	Moderate	Low	High	High	Moderate	Low	High	High	Low	Low	High	High	Low	High	High	Moderate	High	High	Moderate	Moderate	High	Absent	Present	Absent	Absent	Present	Absent	1.28571428571429	1.25	1.28571428571429	1	1.14285714285714	13	6	13	32	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	3 to 5 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Moderate	Low	Low	Moderate	Low	Low	High	High	Low	Low	High	High	Low	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.571428571428571	0.25	0.428571428571429	1.2	0.857142857142857	5	6	4	15	5	Moderate	Yes	2	Nonviolent against property	No violent	1	
Male	Spanish	15	More than 5 criminal records	Violent against property	Violent	High	Moderate	High	Low	Moderate	Low	High	High	Low	High	Moderate	Low	Moderate	High	High	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Present	Absent	Present	Present	Present	Absent	1	1	0.428571428571429	1	0.428571428571429	12	6	2	20	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	0 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.142857142857143	0	0	0.2	0.285714285714286	2	1	0	3	1	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Against persons	Violent	High	High	Low	High	High	Moderate	Low	Low	Low	Moderate	High	Low	Moderate	Moderate	Moderate	High	Low	Low	High	Low	Low	Low	Moderate	Low	Present	Present	Present	Present	Present	Absent	1.71428571428571	0.25	0.142857142857143	0.8	0.428571428571429	10	7	3	20	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	High	High	Low	High	High	Moderate	Moderate	Moderate	High	High	High	Low	Moderate	Low	Low	Absent	Present	Present	Present	Present	Present	1	0.5	1.14285714285714	0.8	0.428571428571429	7	8	8	23	1	Low	Yes	1	Against people	Violent	2	
Male	Spanish	14	3 to 5 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	High	Low	High	High	High	Moderate	Moderate	High	Low	High	Moderate	Low	Low	Low	Moderate	Low	High	High	Absent	Present	Absent	Absent	Absent	Absent	0.428571428571429	1	0.571428571428571	1	1.42857142857143	7	8	6	21	5	High	Yes	5	Others	No violent	2	
Male	Spanish	17	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Absent	Present	Present	Present	Present	Present	0.428571428571429	0.5	0.571428571428571	0.2	0.285714285714286	5	2	4	11	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	High	Absent	Absent	Present	Present	Absent	Absent	0.714285714285714	0	0.857142857142857	0.8	1	4	7	7	18	4	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	High	Low	High	Moderate	Low	Moderate	Low	Low	High	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	High	High	Low	High	High	Absent	Absent	Absent	Absent	Absent	Absent	1.14285714285714	0.75	0.857142857142857	1	1.42857142857143	10	5	11	26	6	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	0 criminal records	Against persons	Violent	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Absent	Present	Present	Present	Present	Absent	0.428571428571429	0	0.714285714285714	0	0.571428571428571	3	2	5	10	2	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	High	High	Moderate	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	Moderate	Absent	Absent	Absent	Absent	Absent	Absent	1.57142857142857	2	1.71428571428571	1.2	1.28571428571429	18	10	12	40	6	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Moderate	Low	High	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Present	Present	Present	Present	Absent	Absent	0.714285714285714	0.75	1.14285714285714	0.8	0.857142857142857	7	7	10	24	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Others	No violent	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	1	0.428571428571429	0.2	0.142857142857143	7	2	3	12	0	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0	0	0	0.142857142857143	2	0	0	2	0	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	17	1 or 2 criminal records	Others	No violent	Moderate	Low	Low	Low	Low	High	Moderate	High	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Absent	Present	Absent	Absent	Absent	Absent	0.285714285714286	1.5	0.571428571428571	0.6	1	7	3	7	17	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	More than 5 criminal records	Violent against property	Violent	Low	Moderate	Low	Low	Low	Low	Moderate	Low	High	Moderate	Moderate	Low	Moderate	High	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Absent	Present	Absent	Present	Absent	Present	0.428571428571429	0.75	0.428571428571429	0.8	0.714285714285714	5	5	5	15	3	Low	No	0	Not applicable	Not applicable	0	
